time;sst
2012-08-31;22,342853546142578
2012-09-01;23,05000114440918
2012-09-02;23,00714111328125
2012-09-03;22,621429443359375
2012-09-04;22,90714454650879
2012-09-05;22,792850494384766
2012-09-06;22,721431732177734
2012-09-07;22,7071475982666
2012-09-08;22,342853546142578
2012-09-09;22,2357177734375
2012-09-10;22,95713996887207
2012-09-11;22,807138442993164
2012-09-12;22,814279556274414
2012-09-13;22,692861557006836
2012-09-14;22,771432876586914
2012-09-15;22,742860794067383
2012-09-16;22,992856979370117
2012-09-17;22,992856979370117
2012-09-18;23,007143020629883
2012-09-19;22,97857093811035
2012-09-20;23,1785831451416
2012-09-21;23,257144927978516
2012-09-22;23,221431732177734
2012-09-23;22,814279556274414
2012-09-24;22,95713996887207
2012-09-25;22,742860794067383
2012-09-26;22,257143020629883
2012-09-27;22,257143020629883
2012-09-28;22,34285545349121
2012-09-29;22,3071346282959
2012-09-30;22,20713996887207
2012-10-01;22,249996185302734
2012-10-02;22,228565216064453
2012-10-03;21,800003051757812
2012-10-04;21,95713996887207
2012-10-05;21,971424102783203
2012-10-06;21,971424102783203
2012-10-07;21,992855072021484
2012-10-08;22,72857093811035
2012-10-09;22,578569412231445
2012-10-10;22,64999771118164
2012-10-11;22,714284896850586
2012-10-12;22,735715866088867
2012-10-13;22,735715866088867
2012-10-14;22,621431350708008
2012-10-15;22,59285545349121
2012-10-16;22,571428298950195
2012-10-17;22,59999656677246
2012-10-18;22,59999656677246
2012-10-19;23,078571319580078
2012-10-20;22,885711669921875
2012-10-21;22,885711669921875
2012-10-22;22,878568649291992
2012-10-23;23,92856788635254
2012-10-24;23,821426391601562
2012-10-25;23,78571128845215
2012-10-26;23,81428337097168
2012-10-27;23,157146453857422
2012-10-28;22,82142448425293
2012-10-29;23,39286231994629
2012-10-30;23,40714454650879
2012-10-31;23,40714454650879
2012-11-01;23,449996948242188
2012-11-02;23,44999885559082
2012-11-03;23,464282989501953
2012-11-04;23,45713996887207
2012-11-05;23,435710906982422
2012-11-06;23,207149505615234
2012-11-07;23,614286422729492
2012-11-08;23,564285278320312
2012-11-09;23,564285278320312
2012-11-10;23,564285278320312
2012-11-11;23,55714225769043
2012-11-12;23,571428298950195
2012-11-13;23,600006103515625
2012-11-14;23,600006103515625
2012-11-15;23,578571319580078
2012-11-16;23,421422958374023
2012-11-17;23,399993896484375
2012-11-18;23,185726165771484
2012-11-19;23,36427879333496
2012-11-20;23,378568649291992
2012-11-21;23,428569793701172
2012-11-22;23,364276885986328
2012-11-23;23,54286003112793
2012-11-24;24,278573989868164
2012-11-25;24,19999885559082
2012-11-26;24,19999885559082
2012-11-27;23,65000343322754
2012-11-28;23,464290618896484
2012-11-29;23,55000114440918
2012-11-30;23,914281845092773
2012-12-01;23,921422958374023
2012-12-02;23,921422958374023
2012-12-03;23,97857093811035
2012-12-04;24,57143211364746
2012-12-05;24,535715103149414
2012-12-06;24,321426391601562
2012-12-07;24,785717010498047
2012-12-08;24,82142448425293
2012-12-09;24,878568649291992
2012-12-10;25,314289093017578
2012-12-11;25,342859268188477
2012-12-12;25,4857177734375
2012-12-13;25,06428337097168
2012-12-14;25,842851638793945
2012-12-15;25,835708618164062
2012-12-16;25,835708618164062
2012-12-17;25,82856559753418
2012-12-18;25,82856559753418
2012-12-19;25,435714721679688
2012-12-20;25,835718154907227
2012-12-21;25,89285659790039
2012-12-22;26,014286041259766
2012-12-23;25,65000343322754
2012-12-24;25,642858505249023
2012-12-25;26,035717010498047
2012-12-26;26,17143440246582
2012-12-27;26,62143325805664
2012-12-28;26,657146453857422
2012-12-29;26,057144165039062
2012-12-30;26,328577041625977
2012-12-31;26,700002670288086
2013-01-01;26,700002670288086
2013-01-02;26,564287185668945
2013-01-03;26,407140731811523
2013-01-04;26,407140731811523
2013-01-05;26,407140731811523
2013-01-06;25,957143783569336
2013-01-07;25,735715866088867
2013-01-08;26,107145309448242
2013-01-09;26,08571434020996
2013-01-10;26,092859268188477
2013-01-11;26,092859268188477
2013-01-12;26,085718154907227
2013-01-13;25,828571319580078
2013-01-14;25,828571319580078
2013-01-15;25,88571548461914
2013-01-16;25,87857437133789
2013-01-17;25,914287567138672
2013-01-18;25,90000343322754
2013-01-19;26,07857322692871
2013-01-20;26,235715866088867
2013-01-21;26,82142448425293
2013-01-22;26,642858505249023
2013-01-23;26,292856216430664
2013-01-24;26,235713958740234
2013-01-25;26,235713958740234
2013-01-26;26,09999656677246
2013-01-27;26,185714721679688
2013-01-28;26,164287567138672
2013-01-29;26,14285659790039
2013-01-30;26,085712432861328
2013-01-31;26,107149124145508
2013-02-01;26,321428298950195
2013-02-02;26,371429443359375
2013-02-03;26,299999237060547
2013-02-04;26,378572463989258
2013-02-05;26,371429443359375
2013-02-06;26,57143211364746
2013-02-07;26,64999771118164
2013-02-08;26,535717010498047
2013-02-09;26,52142906188965
2013-02-10;26,428569793701172
2013-02-11;26,150005340576172
2013-02-12;26,150005340576172
2013-02-13;26,150005340576172
2013-02-14;26,12858009338379
2013-02-15;26,24285316467285
2013-02-16;26,87856674194336
2013-02-17;26,87856674194336
2013-02-18;26,87856674194336
